L_elbow,R_elbow,L_shoulder,R_shoulder,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,torso
141.5587197525975,149.99274967537212,67.36563339174714,89.81206929419638,78.83664467465047,78.83664467465047,56.67231357390754,56.279659646515285,,,31.084289130779606
144.78306581233326,152.20054880249486,69.82841214963801,94.54863385857098,68.15154139311439,68.15154139311439,56.28350900307063,49.99662008629581,,,32.110911640240964
145.32583259598326,152.4801538040692,69.75057693843576,93.32176659223185,67.60271932708903,67.60271932708903,56.274010085169245,50.062085482855615,,,32.64013447781922
142.11809044454088,151.65778750672294,66.55905153939665,94.29737580415703,66.85995536373952,66.85995536373952,54.07868318950013,46.577270440597616,,,33.28537425407711
141.72604036519868,151.44617004204957,65.85184990319199,94.24263782150041,68.24741295963437,68.24741295963437,53.67694697398288,48.615831842760294,,,33.63880433012875
141.99047076102343,150.76867824520556,67.71310174954701,94.60436863488034,71.32169283169888,71.32169283169888,52.57142255710091,49.51825559039087,,,34.043355543037485
140.3694484436496,150.70178665685964,68.6400185568761,94.62201475386011,72.28708819483148,72.28708819483148,52.57962563683626,50.35600725435267,,,34.662322475562746
137.7474630801784,150.8252383221486,69.1647033760799,94.51056321715907,74.82688553685298,74.82688553685298,52.24454372347613,50.99707458394711,,,35.284974385800915
135.57066182855985,148.276187864849,75.85559193008746,93.52698189045954,76.05021257515213,76.05021257515213,50.20983977334979,47.77785124589901,,,36.4492075629447
137.1758679987996,147.47172336249778,78.15299467249126,93.84862147404581,73.95969621754693,73.95969621754693,46.78720799424135,45.37487052955159,,,37.07641934572212
139.81670068633218,146.92629616185943,82.43814813566271,93.87045081981644,75.66888873034577,75.66888873034577,47.16872674220378,44.915961008591694,,,37.55920920870309
137.2272934222498,144.5007812988556,81.76773014070709,94.18122215462076,56.22898690814298,56.22898690814298,44.54923560483983,35.16953090363197,,,37.04064057098566
135.72982693597595,143.76396106093756,82.00815339691849,93.55488612959114,52.431045827858135,52.431045827858135,44.32759726525985,33.10428538409745,,,36.877056422085374
135.0679280690748,143.34864871823208,81.69855304296487,93.39977676171418,52.76847246315687,52.76847246315687,44.49585433875214,33.6471487068608,,,36.74677784128979
135.5462877775202,143.31902828724017,82.5031635144725,93.96580437154002,54.067455550613175,54.067455550613175,44.74831732488551,34.44991061143646,,,36.79455355888632
136.107987032961,140.46961489967518,86.65023350279387,94.73053314267585,54.73126601229473,54.73126601229473,44.41458989508577,35.58478206712473,,,36.45467406434759
140.50401511503185,140.25942369215548,89.50559415261021,94.96245296050765,53.18673633591841,53.18673633591841,44.59828459360042,35.64322472725716,,,36.10248681419294
140.14411793459772,140.6610103012045,88.29696821364594,95.45942580446803,52.50879780433644,52.50879780433644,45.89996220311316,35.647795626101015,,,35.996896870452225
140.25222935614002,141.03995614906947,87.39899081646352,95.76756062463546,51.52219267514375,51.52219267514375,47.61813648831452,35.38799821453719,,,35.8781954941947
140.37828856345658,139.26055120830267,87.08060816346392,95.81701520590697,60.75750980445104,60.75750980445104,64.0467182007111,48.57572021744602,,,36.213730854276626
141.23884971371618,139.29344110683752,89.1632825105975,96.06503144837797,59.22990674093355,59.22990674093355,62.905612425700596,45.634267276429554,,,36.52816072404172
141.31804514277286,139.39921856442916,88.83742352417195,96.09390674299948,59.8646683452131,59.8646683452131,63.39800717565768,45.56331192282686,,,36.76438041559941
141.588874865858,139.29103208820956,88.57497899695358,96.10602226605715,59.00061418389767,59.00061418389767,63.209435062135896,44.430800205617864,,,36.970593617869866
141.2176736965831,139.3226368481477,88.73161020277264,96.21242241599386,57.26387002383997,57.26387002383997,59.648414831944834,40.944107080288475,,,37.11344884644549
138.20005857955525,133.9785235642332,84.53429249537477,93.22093570307722,54.508771807213115,54.508771807213115,56.4438214184543,39.44156019907097,,,36.236270669140055
138.91855119914766,131.76894238656524,83.93839867216437,93.13287366880023,53.05585555617702,53.05585555617702,53.77378042170952,37.89188466156,,,35.07594216431856
137.4390873020408,131.52882662589752,83.28721628314618,92.74733508156754,53.039880746092216,53.039880746092216,49.82134203065104,36.18877119429426,,,35.08776328742369
132.23516945903273,135.0331263250219,78.56493884294453,90.72353329667816,54.268796634018976,54.268796634018976,42.54109273815525,34.093143400343884,,,34.32206518181671
132.95228138235163,130.40900322724673,79.32799584610645,92.16411577515993,52.609463959084046,52.609463959084046,42.602163543723954,32.85985014563156,,,34.170681372528534
145.82895804687087,126.87682638383411,88.38557812280628,89.47964072055719,48.844533868712034,48.844533868712034,46.16377289120157,33.11589589983726,,,34.55546328272288
