Fecha,Video,Repeticion,Start_Frame,End_Frame,Profundidad,Torso,Estabilidad,Rodillas,Ritmo
2026-04-09 20:48:35,ejemplo15.mp4,1,0,23,7.59,7.06,8.53,8.39,8.56
2026-04-09 20:48:35,ejemplo15.mp4,2,45,65,7.55,6.52,8.79,9.02,9.03
2026-04-09 20:48:40,ejemplo9.mp4,1,0,62,7.00,7.97,9.08,4.65,7.69
2026-04-09 20:48:49,ejemplo12.mp4,1,0,47,5.93,5.68,9.02,9.27,8.98
2026-04-09 20:48:50,ejemplo8.mp4,1,0,28,7.11,8.76,7.55,7.80,8.64
2026-04-09 20:48:50,ejemplo8.mp4,2,62,130,7.38,8.58,8.43,8.99,8.58
2026-04-09 20:49:10,ejemplo2.mp4,1,0,48,6.86,8.71,9.61,9.34,9.58
2026-04-09 20:49:10,ejemplo2.mp4,2,113,212,7.56,8.49,9.53,9.44,9.34
2026-04-09 20:49:16,ejemplo1.mp4,1,0,32,8.86,8.74,9.57,7.74,8.52
2026-04-09 20:49:16,ejemplo1.mp4,2,140,230,8.62,8.76,9.54,8.42,8.45
2026-04-09 20:49:27,ejemplo5.mp4,1,0,50,8.44,9.24,9.58,9.47,9.03
2026-04-09 20:49:27,ejemplo5.mp4,2,75,133,8.72,9.30,9.64,9.70,8.98
2026-04-09 20:49:27,ejemplo5.mp4,3,160,217,8.61,9.47,9.72,9.76,9.17
2026-04-09 20:49:27,ejemplo5.mp4,4,241,299,8.79,9.41,9.66,9.70,9.09
2026-04-09 20:49:32,ejemplo10.mp4,1,18,48,3.20,4.20,9.11,8.04,5.90
2026-04-09 20:49:32,ejemplo10.mp4,2,124,204,6.15,9.03,9.23,9.26,8.32
2026-04-09 20:49:32,ejemplo10.mp4,3,237,302,6.05,9.33,9.22,9.06,8.53
2026-04-09 20:49:36,ejemplo6.mp4,1,0,21,6.85,6.01,8.13,6.43,6.88
2026-04-09 20:49:36,ejemplo6.mp4,2,53,92,6.61,6.27,7.91,7.06,7.63
2026-04-09 20:49:36,ejemplo6.mp4,3,163,273,8.11,6.20,8.27,7.67,7.61
2026-04-09 20:49:44,ejemplo16.mp4,1,0,76,8.17,9.28,9.48,9.36,8.99
2026-04-09 20:49:44,ejemplo16.mp4,2,124,209,7.57,9.33,9.31,9.29,8.84
2026-04-09 20:49:44,ejemplo16.mp4,3,255,343,7.83,9.45,9.50,9.42,8.95
2026-04-09 20:49:46,ejemplo7.mp4,1,0,45,7.73,3.71,8.10,2.58,5.76
2026-04-09 20:49:46,ejemplo7.mp4,2,124,154,7.27,3.09,8.29,3.26,5.45
2026-04-09 20:49:46,ejemplo7.mp4,3,202,260,7.38,4.38,7.84,3.50,5.04
2026-04-09 20:49:46,ejemplo7.mp4,4,316,412,7.12,4.26,7.37,3.05,3.82
2026-04-09 20:49:46,ejemplo13.mp4,1,0,39,9.03,8.55,9.50,8.40,7.80
2026-04-09 20:49:46,ejemplo13.mp4,2,77,141,9.06,8.04,9.54,8.73,6.90
2026-04-09 20:49:46,ejemplo13.mp4,3,177,245,8.97,8.00,9.56,8.81,6.97
2026-04-09 20:49:46,ejemplo13.mp4,4,276,338,9.13,8.73,9.64,9.12,7.86
2026-04-09 20:49:46,ejemplo13.mp4,5,369,432,9.11,8.44,9.58,8.98,7.64
2026-04-09 20:49:48,ejemplo11.mp4,1,0,115,8.25,9.11,8.61,8.48,8.77
2026-04-09 20:49:48,ejemplo11.mp4,2,149,198,8.79,9.56,9.78,9.49,9.56
2026-04-09 20:49:48,ejemplo11.mp4,3,303,358,8.79,9.49,9.80,9.69,9.60
2026-04-09 20:49:52,ejemplo4.mp4,1,0,51,3.91,4.96,5.48,6.06,6.71
2026-04-09 20:49:52,ejemplo4.mp4,2,71,118,4.22,6.66,6.59,6.71,7.20
2026-04-09 20:49:52,ejemplo4.mp4,3,137,182,4.85,7.48,7.82,7.58,7.27
2026-04-09 20:49:52,ejemplo4.mp4,4,201,244,5.14,7.14,7.90,8.05,7.02
2026-04-09 20:49:52,ejemplo4.mp4,5,261,300,4.30,6.78,7.05,6.92,6.63
2026-04-09 20:49:52,ejemplo4.mp4,6,315,353,5.03,8.55,8.60,8.38,7.67
2026-04-09 20:49:52,ejemplo4.mp4,7,373,413,7.27,8.82,9.21,9.31,8.10
2026-04-09 20:49:52,ejemplo4.mp4,8,432,470,6.07,7.68,8.30,8.64,6.85
2026-04-09 20:49:52,ejemplo4.mp4,9,487,528,5.18,7.18,7.54,7.77,6.67
2026-04-09 20:49:56,ejemplo14.mp4,1,0,41,8.89,8.59,9.57,8.78,8.15
2026-04-09 20:49:56,ejemplo14.mp4,2,68,112,9.04,9.08,9.78,9.32,8.90
2026-04-09 20:49:56,ejemplo14.mp4,3,139,184,9.08,9.20,9.79,9.36,9.04
2026-04-09 20:49:56,ejemplo14.mp4,4,210,252,8.98,9.10,9.76,9.36,8.83
2026-04-09 20:49:56,ejemplo14.mp4,5,279,320,9.00,9.07,9.79,9.36,8.92
2026-04-09 20:49:56,ejemplo14.mp4,6,345,386,9.01,9.08,9.77,9.29,8.84
2026-04-09 20:49:56,ejemplo14.mp4,7,413,456,8.95,8.93,9.72,9.27,8.56
