Fecha,Video,Repeticion,Start_Frame,End_Frame,Profundidad,Torso,Estabilidad,Rodillas,Ritmo
2026-04-09 19:58:46,ejemplo15.mp4,1,0,23,4.88,4.13,8.75,8.78,8.27
2026-04-09 19:58:46,ejemplo15.mp4,2,43,71,5.35,5.01,8.96,8.41,8.33
2026-04-09 19:58:58,ejemplo9.mp4,1,0,64,5.23,6.76,9.30,4.26,6.54
2026-04-09 19:59:07,ejemplo8.mp4,1,0,28,5.57,8.84,9.15,9.46,8.84
2026-04-09 19:59:07,ejemplo8.mp4,2,64,128,4.15,9.18,9.37,9.63,8.95
2026-04-09 19:59:08,ejemplo12.mp4,1,0,45,3.44,3.73,8.99,9.34,8.63
2026-04-09 19:59:30,ejemplo2.mp4,1,0,65,5.78,8.38,9.37,9.12,9.51
2026-04-09 19:59:30,ejemplo2.mp4,2,114,221,3.86,6.21,8.18,7.69,8.50
2026-04-09 19:59:42,ejemplo1.mp4,1,0,80,5.95,7.64,9.62,6.78,8.31
2026-04-09 19:59:42,ejemplo1.mp4,2,124,267,4.80,7.71,9.63,7.34,7.76
2026-04-09 19:59:52,ejemplo5.mp4,1,0,50,4.37,9.10,9.58,9.72,8.58
2026-04-09 19:59:52,ejemplo5.mp4,2,80,134,4.08,9.23,9.63,9.73,8.46
2026-04-09 19:59:52,ejemplo5.mp4,3,166,218,4.13,9.28,9.66,9.76,8.58
2026-04-09 19:59:52,ejemplo5.mp4,4,256,298,5.10,9.28,9.62,9.72,8.58
2026-04-09 19:59:57,ejemplo10.mp4,1,117,203,2.33,8.65,9.36,9.18,7.73
2026-04-09 19:59:57,ejemplo10.mp4,2,238,300,3.00,8.99,9.41,8.97,7.73
2026-04-09 20:00:05,ejemplo6.mp4,1,53,76,2.14,5.80,9.32,7.48,7.12
2026-04-09 20:00:05,ejemplo6.mp4,2,145,259,3.01,4.80,9.06,8.16,6.95
2026-04-09 20:00:12,ejemplo16.mp4,1,0,75,3.86,8.61,9.33,9.13,8.23
2026-04-09 20:00:12,ejemplo16.mp4,2,133,208,3.50,8.57,8.54,8.40,7.74
