Fecha,Video,Repeticion,Start_Frame,End_Frame,Profundidad,Torso,Estabilidad,Rodillas,Ritmo
2026-04-09 18:16:22,ejemplo15.mp4,1,0,26,4.23,5.62,8.60,8.28,8.65
2026-04-09 18:16:22,ejemplo15.mp4,2,40,69,4.31,6.05,8.76,8.47,8.51
2026-04-09 18:16:29,ejemplo9.mp4,1,0,52,4.47,7.91,8.35,6.07,5.46
2026-04-09 18:16:38,ejemplo12.mp4,1,0,119,2.76,5.36,8.86,8.63,8.93
2026-04-09 18:16:39,ejemplo8.mp4,1,0,30,5.50,8.60,9.14,9.39,8.64
2026-04-09 18:16:39,ejemplo8.mp4,2,62,128,3.93,9.03,9.34,9.60,8.76
2026-04-09 18:17:00,ejemplo2.mp4,1,0,64,5.57,7.68,8.74,9.01,9.23
2026-04-09 18:17:00,ejemplo2.mp4,2,110,220,3.94,6.55,8.34,8.07,8.31
2026-04-09 18:17:03,ejemplo1.mp4,1,0,75,6.19,6.66,8.49,8.03,7.56
2026-04-09 18:17:03,ejemplo1.mp4,2,146,261,4.19,6.39,8.57,8.26,6.74
2026-04-09 18:17:18,ejemplo5.mp4,1,0,53,4.91,8.77,9.30,9.43,8.42
2026-04-09 18:17:18,ejemplo5.mp4,2,78,136,4.28,9.00,9.37,9.51,8.60
2026-04-09 18:17:18,ejemplo5.mp4,3,163,220,4.42,9.24,9.47,9.60,8.78
2026-04-09 18:17:18,ejemplo5.mp4,4,243,301,4.44,9.16,9.40,9.53,8.61
2026-04-09 18:17:22,ejemplo10.mp4,1,0,76,1.73,5.97,8.19,8.36,8.84
2026-04-09 18:17:22,ejemplo10.mp4,2,130,201,4.03,8.46,8.72,8.65,6.94
2026-04-09 18:17:22,ejemplo10.mp4,3,238,301,4.04,8.59,8.73,8.24,6.45
2026-04-09 18:17:27,ejemplo6.mp4,1,46,300,2.60,5.00,7.82,7.37,6.85
2026-04-09 18:17:35,ejemplo16.mp4,1,0,78,3.91,7.87,8.40,8.41,7.06
2026-04-09 18:17:35,ejemplo16.mp4,2,132,208,3.22,8.20,8.75,8.50,6.90
2026-04-09 18:17:35,ejemplo16.mp4,3,268,343,3.65,8.37,8.85,8.49,7.17
2026-04-09 18:17:35,ejemplo16.mp4,4,388,432,2.00,8.52,9.23,9.29,8.30
2026-04-09 18:17:37,ejemplo7.mp4,1,0,43,4.63,4.74,7.98,6.44,6.59
2026-04-09 18:17:37,ejemplo7.mp4,2,89,152,3.08,6.37,8.43,7.70,6.99
2026-04-09 18:17:37,ejemplo7.mp4,3,200,259,3.36,5.95,8.69,7.43,7.13
2026-04-09 18:17:37,ejemplo7.mp4,4,310,410,2.81,4.70,8.15,6.46,5.04
2026-04-09 18:17:39,ejemplo13.mp4,1,0,42,5.89,6.21,8.95,7.20,7.59
2026-04-09 18:17:39,ejemplo13.mp4,2,80,144,4.62,5.54,8.74,6.99,6.61
2026-04-09 18:17:39,ejemplo13.mp4,3,179,248,4.66,6.10,8.89,7.32,6.82
2026-04-09 18:17:39,ejemplo13.mp4,4,274,339,4.78,8.38,9.41,8.56,8.52
2026-04-09 18:17:39,ejemplo13.mp4,5,367,433,4.71,8.11,9.35,8.42,8.41
2026-04-09 18:17:40,ejemplo11.mp4,1,0,194,5.22,8.47,8.77,8.93,8.09
2026-04-09 18:17:40,ejemplo11.mp4,2,210,351,5.45,8.19,8.38,8.82,7.69
2026-04-09 18:17:45,ejemplo4.mp4,1,0,49,3.85,6.08,7.73,7.22,7.06
2026-04-09 18:17:45,ejemplo4.mp4,2,72,117,4.28,6.94,7.98,7.42,6.59
2026-04-09 18:17:45,ejemplo4.mp4,3,138,182,4.23,7.44,8.12,7.67,6.27
2026-04-09 18:17:45,ejemplo4.mp4,4,201,243,4.10,7.60,8.23,7.86,6.25
2026-04-09 18:17:45,ejemplo4.mp4,5,260,300,4.11,7.17,7.84,7.44,5.70
2026-04-09 18:17:45,ejemplo4.mp4,6,315,354,4.20,8.77,8.85,8.79,6.46
2026-04-09 18:17:45,ejemplo4.mp4,7,373,413,4.20,8.90,8.92,8.94,6.96
2026-04-09 18:17:45,ejemplo4.mp4,8,431,470,4.06,7.80,8.22,7.98,5.87
2026-04-09 18:17:45,ejemplo4.mp4,9,486,527,4.14,7.94,8.31,8.02,5.86
2026-04-09 18:17:49,ejemplo14.mp4,1,0,40,4.61,4.51,7.91,6.68,6.61
2026-04-09 18:17:49,ejemplo14.mp4,2,69,111,4.16,4.44,8.33,7.40,7.56
2026-04-09 18:17:49,ejemplo14.mp4,3,140,183,4.13,4.53,8.27,7.41,7.53
2026-04-09 18:17:49,ejemplo14.mp4,4,212,252,3.99,4.37,8.14,7.44,7.50
2026-04-09 18:17:49,ejemplo14.mp4,5,278,318,3.99,4.40,8.10,7.38,7.37
2026-04-09 18:17:49,ejemplo14.mp4,6,345,386,4.16,4.47,8.28,7.41,7.55
2026-04-09 18:17:49,ejemplo14.mp4,7,414,455,4.10,4.47,8.24,7.36,7.44
2026-04-09 18:17:49,ejemplo14.mp4,8,485,528,4.04,4.46,8.22,7.39,7.43
2026-04-09 18:17:54,ejemplo3.mp4,1,0,57,5.53,7.22,8.23,7.93,6.90
2026-04-09 18:17:54,ejemplo3.mp4,2,99,174,3.71,7.53,8.55,8.23,6.83
2026-04-09 18:17:54,ejemplo3.mp4,3,211,282,3.69,7.31,8.43,8.03,6.64
2026-04-09 18:17:54,ejemplo3.mp4,4,319,388,3.49,7.52,8.47,8.04,6.57
2026-04-09 18:17:54,ejemplo3.mp4,5,422,493,3.49,7.47,8.48,8.08,6.55
2026-04-09 18:17:54,ejemplo3.mp4,6,530,598,3.50,7.47,8.46,8.10,6.58
2026-04-09 18:20:41,mio.mp4,1,7,80,2.94,3.97,8.36,7.47,6.76
2026-04-09 18:20:41,mio.mp4,2,121,176,2.92,4.18,7.79,6.79,6.18
2026-04-09 18:20:41,mio.mp4,3,212,340,2.73,4.92,8.49,7.56,7.35
2026-04-09 18:20:41,mio.mp4,4,401,459,0.83,8.11,9.31,9.25,8.30
2026-04-09 18:20:41,mio.mp4,5,466,597,2.28,5.91,8.62,8.10,7.54
2026-04-09 18:20:41,mio.mp4,6,649,711,3.22,3.73,7.83,7.17,7.10
2026-04-09 18:20:41,mio.mp4,7,754,812,3.25,3.62,7.41,6.61,6.58
2026-04-09 18:20:41,mio.mp4,8,853,938,3.49,3.77,8.05,6.80,6.91
2026-04-09 18:20:41,mio.mp4,9,1003,1120,2.78,4.08,8.13,7.50,6.86
2026-04-09 18:20:41,mio.mp4,10,1172,1247,2.97,3.95,8.22,7.83,7.95
2026-04-09 18:20:41,mio.mp4,11,1301,1365,3.47,3.77,8.12,7.44,7.80
2026-04-09 18:20:41,mio.mp4,12,1414,1483,3.97,3.65,7.83,6.71,7.57
